Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Ian Stewart,Rockies (AAA),26,195,11.30%,26.20%,0.43,0.275,0.359,0.591,0.95,0.316,3.9,0.308,0.2,35,7.3,0.398,127,5950
Matt Carpenter,Cardinals (AAA),25,535,15.70%,12.70%,1.24,0.302,0.419,0.465,0.885,0.164,3.5,0.331,-1,95,19.9,0.398,126,8090
Tyler Flowers,White Sox (AAA),25,270,14.40%,31.10%,0.46,0.261,0.39,0.5,0.89,0.239,2.8,0.35,0.2,46,14.9,0.397,148,9134
Dewayne Wise,- - -,33,153,3.90%,16.30%,0.24,0.338,0.379,0.542,0.921,0.204,8.3,0.386,0.1,27,5.5,0.396,125,1554
Trayvon Robinson,- - -,23,428,11.20%,29.40%,0.38,0.289,0.374,0.552,0.926,0.263,6.1,0.369,-1.2,76,15.3,0.396,125,9875
Justin Ruggiano,Rays (AAA),29,190,10.50%,22.10%,0.48,0.304,0.378,0.518,0.896,0.214,6.7,0.37,1.5,32,10.3,0.396,147,7620
Carlos Peguero,Mariners (AAA),24,258,5.80%,31.80%,0.18,0.317,0.364,0.558,0.923,0.242,7.1,0.434,1.6,45,8.8,0.395,124,8760
Cole Garner,Rockies (AAA),26,203,4.90%,23.20%,0.21,0.33,0.366,0.557,0.923,0.227,7.1,0.396,-0.2,35,6.6,0.393,123,616
Mike Mccoy,Blue Jays (AAA),30,186,17.70%,12.40%,1.43,0.311,0.44,0.392,0.831,0.081,5.3,0.358,0.3,32,6,0.392,123,4583
Cole Gillespie,Diamondbacks (AAA),27,582,13.90%,15.60%,0.89,0.3,0.405,0.479,0.885,0.18,7.6,0.343,2.3,101,18.7,0.392,123,5888
Zach Lutz,Mets (AAA),25,250,10.80%,28.00%,0.39,0.295,0.38,0.5,0.88,0.205,1.6,0.388,-0.2,42,12.8,0.392,144,3735
