Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,playerid
Heath Hembree,Giants (A+),22,24.2,16.05,4.38,3.67,0.36,43.60%,11.90%,31.70%,0.182,1.14,0.349,97.80%,0.73,2.49,-1.76,11632
Jeurys Familia,Mets (A+),21,36.1,8.92,1.98,4.5,0.25,26.70%,5.90%,20.70%,0.167,0.8,0.225,80.40%,1.49,2.51,-1.02,5114
A.J. Ramos,Marlins (A+),24,50.2,12.61,3.38,3.74,0.36,33.50%,9.00%,24.50%,0.192,1.09,0.296,83.90%,1.78,2.52,-0.74,8350
Zach Samuels,Tigers (A+),24,55.1,7.64,1.63,4.7,0.16,22.40%,4.80%,17.60%,0.216,0.96,0.278,76.10%,1.79,2.52,-0.73,sa506478
Keith Butler,Cardinals (A+),22,36,13,4.5,2.89,0.25,35.40%,12.20%,23.10%,0.15,1.03,0.243,87.80%,1.25,2.53,-1.28,10080
Drew Smyly,Tigers (A+),22,80.1,8.63,2.35,3.67,0.11,23.80%,6.50%,17.30%,0.238,1.15,0.317,67.30%,2.58,2.53,0.05,11760
Seth Maness,Cardinals (A+),22,8.1,8.64,2.16,4,0,22.90%,5.70%,17.10%,0.219,1.08,0.292,60.00%,4.32,2.55,1.77,12235
Eliecer Cardenas,Braves (A+),23,56.2,11.91,4.61,2.59,0.16,32.80%,12.70%,20.10%,0.158,1.06,0.25,83.10%,0.79,2.56,-1.76,sa504006
Dustin Mcgowan,Blue Jays (A+),29,15.2,9.77,4.02,2.43,0,25.80%,10.60%,15.20%,0.22,1.28,0.31,75.00%,2.87,2.56,0.31,8600
Robbie Ross Jr.,Rangers (A+),22,123.1,7.15,2.04,3.5,0.07,20.00%,5.70%,14.30%,0.223,1.05,0.282,73.60%,2.26,2.57,-0.31,6819
Andrew Albers,Twins (A+),25,54.1,8.28,1.49,5.56,0.33,23.20%,4.20%,19.00%,0.257,1.14,0.331,81.40%,1.99,2.58,-0.59,7853
Andrew Carignan,Athletics (A+),24,11,9.82,1.64,6,0,30.00%,5.00%,25.00%,0.108,0.55,0.16,85.70%,0,2.58,-2.58,2431
Matt Wright,Blue Jays (A+),24,77,10.29,2.1,4.89,0.47,27.40%,5.60%,21.80%,0.233,1.14,0.317,71.40%,3.27,2.6,0.68,sa454889
Jose Rosario,Marlins (A+),25,69.1,9.48,2.73,3.48,0.26,25.80%,7.40%,18.40%,0.226,1.15,0.307,79.30%,2.21,2.61,-0.4,sa455780
Preston Guilmet,Indians (A+),23,58.1,9.26,1.7,5.45,0.62,26.60%,4.90%,21.70%,0.2,0.93,0.258,82.60%,2.16,2.63,-0.47,7303
Wes Etheridge,Blue Jays (A+),26,47.2,7.17,1.32,5.43,0.19,19.80%,3.70%,16.20%,0.219,0.99,0.271,79.80%,1.89,2.63,-0.75,sa390396
Ross Ohlendorf,Pirates (A+),28,8,6.75,1.13,6,0,17.10%,2.90%,14.30%,0.303,1.38,0.37,66.70%,4.5,2.64,1.86,8268
Nestor Molina,Blue Jays (A+),22,108.1,9.55,1.16,8.21,0.66,26.60%,3.20%,23.40%,0.245,1.07,0.32,75.60%,2.58,2.64,-0.07,sa503616
Danny Burawa,Yankees (A+),22,39.1,7.09,2.06,3.44,0,18.60%,5.40%,13.20%,0.263,1.27,0.328,65.40%,3.66,2.65,1.01,sa549108
Jose Perez,Angels (A+),23,19.1,10.71,3.26,3.29,0,28.40%,8.60%,19.80%,0.216,1.19,0.314,78.30%,2.33,2.65,-0.33,sa393029
Jose Alvarez,Marlins (A+),22,82,8.01,2.09,3.84,0.22,22.10%,5.80%,16.40%,0.255,1.2,0.328,69.70%,2.96,2.66,0.31,5358
Jon Garland,Dodgers (A+),31,4.2,5.79,0,3,0,15.00%,0.00%,15.00%,0.3,1.29,0.353,50.00%,5.79,2.66,3.12,232
Tyler Sturdevant,Indians (A+),25,41,9.66,1.76,5.5,0.66,27.20%,4.90%,22.20%,0.203,0.95,0.264,83.80%,1.98,2.69,-0.72,sa502327
Chris Martin,Red Sox (A+),25,39.1,5.49,1.37,4,0,15.90%,4.00%,11.90%,0.204,0.89,0.246,89.50%,0.92,2.69,-1.78,11847
Johan Yan,Rangers (A+),26,41.1,10.45,2.83,3.69,0.44,27.80%,7.50%,20.20%,0.21,1.11,0.29,82.30%,1.52,2.7,-1.17,sa328938
Hector Nelo,Nationals (A+),24,41.1,7.62,3.48,2.19,0,20.20%,9.30%,11.00%,0.204,1.16,0.262,64.60%,2.4,2.7,-0.3,sa392069
Zach Simons,Marlins (A+),26,4.1,6.23,2.08,3,0,15.80%,5.30%,10.50%,0.222,1.15,0.267,60.00%,0,2.7,-2.7,sa291239
Osiris Matos,Giants (A+),26,4,9,2.25,4,0,22.20%,5.60%,16.70%,0.294,1.5,0.385,83.30%,2.25,2.7,-0.45,4100
Chase Reid,Cardinals (A+),23,27.2,10.08,3.25,3.1,0.33,27.40%,8.90%,18.60%,0.204,1.12,0.282,81.10%,2.28,2.7,-0.43,sa526218
Shawn Tolleson,Dodgers (A+),23,9.2,15.83,2.79,5.67,0.93,47.20%,8.30%,38.90%,0.061,0.52,0.067,55.60%,0.93,2.71,-1.77,10481
Frank Gailey,Blue Jays (A+),25,44,7.77,2.05,3.8,0.2,22.80%,6.00%,16.80%,0.167,0.82,0.214,78.70%,1.84,2.71,-0.87,sa389206
Jordan Swagerty,Cardinals (A+),21,54.1,8.61,2.65,3.25,0.17,23.90%,7.30%,16.50%,0.21,1.07,0.279,80.20%,1.82,2.71,-0.89,sa526415
Oswaldo Martinez,Cubs (A+),22,18,10,1.5,6.67,0.5,29.40%,4.40%,25.00%,0.175,0.78,0.238,89.00%,1.5,2.72,-1.22,sa393077
